"idno","district","gndr","agea","edu","wkhtot","income","stfdem","stfeco","trstprl","trstprt","trstplt","trstlgl","lrscale"
20223,"Distrikt 5","female",58,"ES-ISCED III",46,"5th decile",6,6,6,5,5,6,5
20224,"Distrikt 5","female",43,"ES-ISCED III",40,"4th decile",4,4,5,8,6,3,4
20225,"Distrikt 5","male",48,"ES-ISCED II",27,"6th decile",2,3,2,4,3,3,5
20226,"Distrikt 5","female",50,"ES-ISCED II",30,"4th decile",7,7,7,7,6,4,1
20227,"Distrikt 5","female",43,"ES-ISCED IV",33,"6th decile",0,4,3,5,3,4,6
20228,"Distrikt 5","female",40,"ES-ISCED IV",14,"7th decile",10,6,7,5,4,5,3
20229,"Distrikt 5","male",19,"ES-ISCED III",22,"7th decile",4,4,5,5,7,1,4
20230,"Distrikt 5","female",62,"ES-ISCED II",34,"3rd decile",6,6,6,1,2,3,7
20231,"Distrikt 5","male",35,"ES-ISCED III",30,"6th decile",10,9,5,4,7,3,4
20232,"Distrikt 5","male",49,"ES-ISCED IV",34,"9th decile",5,6,5,6,3,5,4
20233,"Distrikt 5","male",34,"ES-ISCED IV",27,"8th decile",3,3,3,6,1,8,2
20234,"Distrikt 5","male",32,"ES-ISCED II",44,"5th decile",6,5,3,7,6,2,3
20235,"Distrikt 5","female",49,"ES-ISCED V",25,"7th decile",7,5,7,5,4,7,6
20236,"Distrikt 5","female",27,"ES-ISCED IV",32,"5th decile",7,8,2,5,1,7,4
20237,"Distrikt 5","female",43,"ES-ISCED V",19,"7th decile",5,4,3,6,4,7,3
20238,"Distrikt 5","female",47,"ES-ISCED V",40,"6th decile",5,5,1,1,5,5,7
20239,"Distrikt 5","female",41,"ES-ISCED III",39,"4th decile",2,4,7,6,5,7,3
20240,"Distrikt 5","female",49,"ES-ISCED III",35,"5th decile",3,4,4,2,6,6,2
20241,"Distrikt 5","female",40,"ES-ISCED IV",27,"6th decile",6,4,5,7,6,6,2
20242,"Distrikt 5","female",34,"ES-ISCED V",36,"8th decile",6,7,5,8,8,9,3
20243,"Distrikt 5","male",43,"ES-ISCED III",28,"7th decile",4,4,1,3,1,4,5
20244,"Distrikt 5","male",42,"ES-ISCED II",25,"5th decile",8,6,8,6,6,4,4
20245,"Distrikt 5","female",46,"ES-ISCED IV",42,"5th decile",7,6,3,3,3,6,3
20246,"Distrikt 5","male",32,"ES-ISCED IV",29,"9th decile",8,5,5,5,6,6,3
20247,"Distrikt 5","male",39,"ES-ISCED IV",44,"6th decile",3,4,3,5,1,6,3
20248,"Distrikt 5","female",45,"ES-ISCED V",35,"7th decile",5,2,5,6,4,6,5
20249,"Distrikt 5","male",48,"ES-ISCED IV",7,"9th decile",5,5,4,5,4,6,6
20250,"Distrikt 5","female",47,"ES-ISCED IV",20,"6th decile",2,5,0,4,6,4,7
20251,"Distrikt 5","female",36,"ES-ISCED V",20,"8th decile",6,7,5,6,3,5,4
20252,"Distrikt 5","female",54,"ES-ISCED III",46,"4th decile",4,5,0,3,8,4,6
20253,"Distrikt 5","female",48,"ES-ISCED III",38,"3rd decile",3,4,6,4,5,3,9
20254,"Distrikt 5","female",40,"ES-ISCED IV",32,"6th decile",3,2,7,6,4,4,3
20255,"Distrikt 5","male",33,"ES-ISCED III",34,"5th decile",3,5,4,4,5,0,6
20256,"Distrikt 5","female",54,"ES-ISCED II",28,"3rd decile",1,1,7,8,9,8,7
20257,"Distrikt 5","female",39,"ES-ISCED IV",42,"5th decile",10,7,3,3,1,5,6
20258,"Distrikt 5","female",41,"ES-ISCED IV",42,"4th decile",6,3,4,7,NA,3,4
20259,"Distrikt 5","female",49,"ES-ISCED IV",33,"5th decile",7,7,5,5,2,8,1
20260,"Distrikt 5","male",68,"ES-ISCED I",27,"5th decile",NA,5,5,6,4,5,7
20261,"Distrikt 5","male",66,"ES-ISCED III",27,"7th decile",2,4,1,4,2,6,5
20262,"Distrikt 5","male",35,"ES-ISCED III",41,"6th decile",3,4,5,2,0,3,5
20263,"Distrikt 5","male",39,"ES-ISCED II",41,"5th decile",5,9,6,4,5,4,3
20264,"Distrikt 5","female",44,"ES-ISCED III",40,"4th decile",2,4,3,3,4,6,4
20265,"Distrikt 5","female",62,"ES-ISCED II",39,"2nd decile",3,4,4,6,6,5,4
20266,"Distrikt 5","male",49,"ES-ISCED II",23,"6th decile",6,4,6,7,4,2,6
20267,"Distrikt 5","male",48,"ES-ISCED III",22,"6th decile",5,3,7,6,6,9,5
20268,"Distrikt 5","female",41,"ES-ISCED III",44,"4th decile",2,5,3,6,3,5,6
20269,"Distrikt 5","female",51,"ES-ISCED III",33,"3rd decile",4,7,5,6,6,6,8
20270,"Distrikt 5","male",56,"ES-ISCED III",24,"7th decile",8,6,2,4,4,5,3
20271,"Distrikt 5","male",31,"ES-ISCED IV",32,"7th decile",6,5,6,7,8,7,5
20272,"Distrikt 5","male",33,"ES-ISCED IV",30,"8th decile",7,7,3,2,0,6,6
20273,"Distrikt 5","female",57,"ES-ISCED II",41,"3rd decile",4,4,3,6,7,5,5
20274,"Distrikt 5","female",NA,"ES-ISCED V",36,"7th decile",6,7,8,9,5,7,7
20275,"Distrikt 5","male",54,"ES-ISCED III",47,"5th decile",7,5,5,5,6,4,7
20276,"Distrikt 5","male",24,"ES-ISCED V",31,"9th decile",9,6,5,5,3,4,7
20277,"Distrikt 5","male",35,"ES-ISCED IV",29,"8th decile",4,4,5,5,6,4,5
20278,"Distrikt 5","female",65,"ES-ISCED III",41,"4th decile",4,4,1,2,NA,5,7
20279,"Distrikt 5","female",64,"ES-ISCED II",30,"4th decile",8,8,3,4,5,1,5
20280,"Distrikt 5","male",73,"ES-ISCED I",35,"4th decile",2,2,7,6,6,7,7
20281,"Distrikt 5","female",44,"ES-ISCED III",43,"4th decile",4,4,3,3,3,4,8
20282,"Distrikt 5","male",58,"ES-ISCED II",34,"4th decile",0,3,7,9,6,5,8
20283,"Distrikt 5","male",44,"ES-ISCED III",32,"7th decile",7,6,4,8,6,2,5
20284,"Distrikt 5","male",34,"ES-ISCED III",27,"6th decile",3,5,5,7,7,6,5
20285,"Distrikt 5","male",31,"ES-ISCED IV",35,"6th decile",3,2,5,6,7,6,4
20286,"Distrikt 5","female",48,"ES-ISCED IV",25,"7th decile",6,4,5,2,2,3,4
20287,"Distrikt 5","male",39,"ES-ISCED III",27,"6th decile",4,4,1,5,1,2,3
20288,"Distrikt 5","female",43,"ES-ISCED III",44,"5th decile",4,5,4,8,8,4,4
20289,"Distrikt 5","female",60,"ES-ISCED III",29,"5th decile",6,5,6,2,3,3,6
20290,"Distrikt 5","female",42,"ES-ISCED V",40,"6th decile",9,5,3,5,7,6,6
20291,"Distrikt 5","male",41,"ES-ISCED III",42,"7th decile",6,4,6,5,5,3,1
20292,"Distrikt 5","male",49,"ES-ISCED IV",34,"8th decile",5,4,5,5,5,4,7
20293,"Distrikt 5","female",50,"ES-ISCED IV",45,"5th decile",5,5,6,6,6,4,6
20294,"Distrikt 5","male",59,"ES-ISCED III",59,"6th decile",7,8,6,4,7,3,5
20295,"Distrikt 5","female",38,"ES-ISCED IV",34,"5th decile",5,5,5,5,4,4,3
20296,"Distrikt 5","female",32,"ES-ISCED III",33,"3rd decile",4,2,4,4,6,2,2
20297,"Distrikt 5","female",60,"ES-ISCED II",44,"3rd decile",2,2,3,6,4,5,8
20298,"Distrikt 5","male",44,"ES-ISCED III",31,"7th decile",4,7,3,5,4,7,6
20299,"Distrikt 5","female",55,"ES-ISCED III",28,"5th decile",5,7,2,5,3,6,7
20300,"Distrikt 5","female",32,"ES-ISCED IV",22,"5th decile",3,6,6,5,5,3,4
20301,"Distrikt 5","male",44,"ES-ISCED III",38,"7th decile",9,5,7,7,5,7,5
20302,"Distrikt 5","female",36,"ES-ISCED III",33,"3rd decile",4,3,7,6,4,6,3
20303,"Distrikt 5","female",55,"ES-ISCED II",32,"1st decile",4,5,4,5,6,3,8
20304,"Distrikt 5","female",45,"ES-ISCED IV",39,"5th decile",6,5,5,6,8,6,6
20305,"Distrikt 5","female",33,"ES-ISCED IV",27,"5th decile",1,3,3,8,2,3,8
20306,"Distrikt 5","female",54,"ES-ISCED II",33,"2nd decile",2,3,3,5,8,5,5
20307,"Distrikt 5","male",26,"ES-ISCED IV",42,"5th decile",5,4,5,4,4,4,5
20308,"Distrikt 5","female",45,"ES-ISCED III",22,"4th decile",4,4,3,6,5,4,3
20309,"Distrikt 5","male",49,"ES-ISCED II",32,"6th decile",5,6,6,5,4,5,7
20310,"Distrikt 5","female",43,"ES-ISCED IV",31,"6th decile",NA,8,1,3,3,3,4
20311,"Distrikt 5","male",63,"ES-ISCED III",42,"6th decile",2,3,4,6,9,6,8
20312,"Distrikt 5","male",42,"ES-ISCED IV",34,"8th decile",8,8,1,4,4,5,6
20313,"Distrikt 5","female",62,"ES-ISCED III",29,"4th decile",0,2,0,2,1,6,6
20314,"Distrikt 5","male",44,"ES-ISCED III",34,"7th decile",8,6,5,4,2,4,3
20315,"Distrikt 5","male",43,"ES-ISCED III",27,"6th decile",4,4,6,5,4,5,2
20316,"Distrikt 5","male",50,"ES-ISCED II",36,"5th decile",5,6,5,6,5,8,8
20317,"Distrikt 5","male",53,"ES-ISCED III",34,"7th decile",8,6,5,5,5,6,7
20318,"Distrikt 5","female",29,"ES-ISCED IV",44,"4th decile",7,9,0,4,6,1,3
20319,"Distrikt 5","male",65,"ES-ISCED II",41,"5th decile",1,3,0,5,3,3,1
20320,"Distrikt 5","male",49,"ES-ISCED III",24,"8th decile",3,2,5,5,2,4,4
20321,"Distrikt 5","female",49,"ES-ISCED III",38,"3rd decile",3,3,5,5,3,6,0
20322,"Distrikt 5","male",43,"ES-ISCED IV",50,"7th decile",NA,7,5,8,5,3,7
20323,"Distrikt 5","male",30,"ES-ISCED V",24,"9th decile",7,6,5,6,5,2,7
20324,"Distrikt 5","female",48,"ES-ISCED II",42,"4th decile",8,5,9,7,4,3,4
20325,"Distrikt 5","male",46,"ES-ISCED IV",28,"10th decile",7,5,2,5,7,8,5
20326,"Distrikt 5","male",50,"ES-ISCED V",30,"9th decile",3,6,1,1,3,5,3
20327,"Distrikt 5","male",40,"ES-ISCED III",39,"7th decile",6,7,6,9,7,4,9
20328,"Distrikt 5","female",50,"ES-ISCED III",30,"4th decile",8,4,5,6,7,3,7
20329,"Distrikt 5","female",21,"ES-ISCED IV",26,"5th decile",6,9,4,6,5,6,3
20330,"Distrikt 5","male",35,"ES-ISCED III",28,"7th decile",5,6,4,6,7,4,3
20331,"Distrikt 5","female",59,"ES-ISCED I",43,"3rd decile",5,7,2,4,7,4,4
20332,"Distrikt 5","female",41,"ES-ISCED IV",23,"5th decile",5,4,4,4,6,2,2
20333,"Distrikt 5","male",36,"ES-ISCED III",35,"7th decile",2,5,3,4,3,6,5
20334,"Distrikt 5","female",61,"ES-ISCED II",40,"3rd decile",6,6,3,6,5,3,3
20335,"Distrikt 5","male",28,"ES-ISCED IV",34,"7th decile",0,3,3,2,5,2,6
20336,"Distrikt 5","male",25,"ES-ISCED IV",13,"9th decile",6,5,7,5,6,6,6
20337,"Distrikt 5","female",50,"ES-ISCED V",36,"7th decile",5,6,5,6,5,3,4
20338,"Distrikt 5","female",68,"ES-ISCED IV",35,"4th decile",3,5,2,4,7,6,5
20339,"Distrikt 5","male",34,"ES-ISCED IV",32,"8th decile",5,5,3,3,6,0,0
20340,"Distrikt 5","female",36,"ES-ISCED III",39,"4th decile",2,5,4,3,4,6,3
20341,"Distrikt 5","male",43,"ES-ISCED III",33,"6th decile",3,3,8,3,7,6,8
20342,"Distrikt 5","male",50,"ES-ISCED II",33,"5th decile",6,6,5,8,5,5,6
20343,"Distrikt 5","female",55,"ES-ISCED IV",42,"6th decile",6,6,4,9,6,2,9
20344,"Distrikt 5","female",47,"ES-ISCED III",34,"4th decile",1,3,2,3,5,4,5
20345,"Distrikt 5","male",44,"ES-ISCED IV",46,"8th decile",9,7,7,6,4,3,7
20346,"Distrikt 5","male",51,"ES-ISCED III",25,"7th decile",5,3,5,4,4,4,3
20347,"Distrikt 5","male",56,"ES-ISCED I",27,"3rd decile",2,2,6,3,3,2,5
20348,"Distrikt 5","male",37,"ES-ISCED IV",23,"6th decile",0,2,3,6,6,6,6
20349,"Distrikt 5","male",37,"ES-ISCED III",34,"7th decile",4,6,5,5,6,4,3
20350,"Distrikt 5","male",31,"ES-ISCED IV",29,"7th decile",4,6,3,4,7,2,7
20351,"Distrikt 5","female",42,"ES-ISCED IV",37,"6th decile",5,6,3,6,4,8,6
20352,"Distrikt 5","female",57,"ES-ISCED II",26,"3rd decile",3,3,4,4,5,0,6
20353,"Distrikt 5","male",38,"ES-ISCED III",31,"6th decile",9,8,5,5,4,4,4
20354,"Distrikt 5","male",53,"ES-ISCED II",32,"5th decile",6,7,3,5,6,7,6
20355,"Distrikt 5","male",50,"ES-ISCED II",38,"5th decile",5,6,2,4,4,6,4
20356,"Distrikt 5","male",52,"ES-ISCED III",20,"8th decile",8,4,6,7,5,5,5
20357,"Distrikt 5","female",33,"ES-ISCED IV",36,"5th decile",6,5,6,3,3,4,6
20358,"Distrikt 5","female",44,"ES-ISCED III",26,"4th decile",7,6,5,5,5,6,8
20359,"Distrikt 5","male",36,"ES-ISCED III",32,"6th decile",4,6,5,5,3,2,3
20360,"Distrikt 5","male",55,"ES-ISCED III",37,"7th decile",3,5,3,4,4,2,6
20361,"Distrikt 5","male",46,"ES-ISCED IV",23,"7th decile",3,3,3,6,5,3,4
20362,"Distrikt 5","female",39,"ES-ISCED IV",34,"5th decile",5,6,5,5,1,4,3
20363,"Distrikt 5","female",49,"ES-ISCED IV",35,"5th decile",5,2,4,1,1,3,4
20364,"Distrikt 5","female",74,"ES-ISCED III",32,"4th decile",5,5,3,3,5,5,8
20365,"Distrikt 5","male",45,"ES-ISCED III",26,"5th decile",2,5,5,6,6,8,4
20366,"Distrikt 5","female",35,"ES-ISCED III",27,"4th decile",5,5,5,5,2,4,3
20367,"Distrikt 5","female",35,"ES-ISCED III",45,"4th decile",7,6,3,4,8,2,4
20368,"Distrikt 5","female",36,"ES-ISCED III",29,"4th decile",5,6,4,6,7,3,3
20369,"Distrikt 5","male",42,"ES-ISCED III",46,"7th decile",5,5,3,4,7,3,6
20370,"Distrikt 5","female",32,"ES-ISCED IV",43,"4th decile",5,5,7,4,6,6,4
20371,"Distrikt 5","female",48,"ES-ISCED IV",37,"5th decile",5,5,0,3,2,0,6
20372,"Distrikt 5","male",46,"ES-ISCED III",30,"7th decile",8,4,5,5,6,6,3
20373,"Distrikt 5","male",52,"ES-ISCED III",11,"8th decile",0,2,4,5,4,9,6
20374,"Distrikt 5","male",44,"ES-ISCED II",47,"4th decile",3,4,4,5,7,2,4
20375,"Distrikt 5","male",47,"ES-ISCED II",42,"5th decile",4,4,4,5,2,4,0
20376,"Distrikt 5","female",87,"ES-ISCED III",34,"5th decile",4,5,3,7,6,6,6
20377,"Distrikt 5","male",49,"ES-ISCED I",28,"5th decile",0,2,4,5,4,5,3
20378,"Distrikt 5","male",60,"ES-ISCED II",42,"6th decile",4,6,3,3,8,3,7
20379,"Distrikt 5","male",54,"ES-ISCED III",23,"7th decile",5,4,5,2,3,5,7
20380,"Distrikt 5","female",41,"ES-ISCED IV",25,"6th decile",2,4,4,6,10,3,5
20381,"Distrikt 5","female",46,"ES-ISCED III",25,"5th decile",3,6,1,5,5,9,6
20382,"Distrikt 5","male",57,"ES-ISCED II",27,"6th decile",4,3,8,9,6,4,3
20383,"Distrikt 5","male",42,"ES-ISCED III",34,"7th decile",5,3,2,4,5,2,9
20384,"Distrikt 5","male",61,"ES-ISCED III",35,"7th decile",4,5,4,6,7,4,9
20385,"Distrikt 5","male",35,"ES-ISCED IV",31,"9th decile",NA,NA,3,1,NA,5,3
20386,"Distrikt 5","male",55,"ES-ISCED I",29,"5th decile",8,7,4,8,5,5,5
20387,"Distrikt 5","female",58,"ES-ISCED III",38,"5th decile",6,5,2,3,3,2,4
20388,"Distrikt 5","female",40,"ES-ISCED III",47,"3rd decile",7,6,6,5,5,4,8
20389,"Distrikt 5","female",28,"ES-ISCED IV",15,"7th decile",6,6,6,5,1,5,8
20390,"Distrikt 5","male",48,"ES-ISCED II",37,"5th decile",10,8,8,7,8,8,3
20391,"Distrikt 5","male",41,"ES-ISCED IV",50,"7th decile",7,7,7,8,3,8,5
20392,"Distrikt 5","male",39,"ES-ISCED III",44,"6th decile",3,4,3,6,7,7,5
20393,"Distrikt 5","male",54,"ES-ISCED III",34,"7th decile",5,6,2,3,3,5,7
20394,"Distrikt 5","female",50,"ES-ISCED III",34,"4th decile",5,6,2,5,4,3,8
20395,"Distrikt 5","male",40,"ES-ISCED IV",48,"7th decile",8,6,3,6,5,6,5
20396,"Distrikt 5","female",49,"ES-ISCED IV",36,"6th decile",5,4,3,4,6,3,7
20397,"Distrikt 5","female",50,"ES-ISCED IV",22,"7th decile",1,3,6,3,5,5,10
20398,"Distrikt 5","female",39,"ES-ISCED II",44,"3rd decile",4,7,6,4,4,1,3
20399,"Distrikt 5","male",26,"ES-ISCED V",46,"7th decile",8,5,8,5,4,7,6
20400,"Distrikt 5","female",52,"ES-ISCED III",36,"5th decile",6,9,2,4,6,3,7
20401,"Distrikt 5","female",49,"ES-ISCED IV",28,"5th decile",4,5,8,8,8,8,9
20402,"Distrikt 5","female",49,"ES-ISCED V",45,"6th decile",8,10,2,3,3,7,7
20403,"Distrikt 5","male",34,"ES-ISCED III",27,"6th decile",1,5,6,5,7,5,2
20404,"Distrikt 5","male",57,"ES-ISCED II",47,"5th decile",5,5,5,5,2,3,3
20405,"Distrikt 5","male",51,"ES-ISCED III",48,"6th decile",4,3,5,6,5,5,3
20406,"Distrikt 5","female",45,"ES-ISCED II",23,"3rd decile",5,4,5,8,6,5,3
20407,"Distrikt 5","female",54,"ES-ISCED IV",44,"5th decile",5,5,5,5,8,9,4
20408,"Distrikt 5","female",44,"ES-ISCED III",38,"5th decile",5,4,6,8,9,4,3
20409,"Distrikt 5","female",41,"ES-ISCED III",31,"4th decile",5,5,5,7,6,7,4
20410,"Distrikt 5","male",45,"ES-ISCED II",34,"6th decile",4,5,7,5,5,6,5
20411,"Distrikt 5","female",39,"ES-ISCED III",36,"3rd decile",4,6,6,9,6,8,2
20412,"Distrikt 5","male",60,"ES-ISCED II",30,"9th decile",7,8,6,7,5,4,8
20413,"Distrikt 5","female",41,"ES-ISCED III",52,"3rd decile",5,7,6,3,3,2,5
20414,"Distrikt 5","female",35,"ES-ISCED IV",45,"3rd decile",7,6,2,3,4,0,6
20415,"Distrikt 5","female",53,"ES-ISCED III",24,"3rd decile",4,5,5,5,5,4,8
20416,"Distrikt 5","female",37,"ES-ISCED V",27,"6th decile",7,6,7,6,6,5,6
20417,"Distrikt 5","female",56,"ES-ISCED III",39,"5th decile",3,7,4,1,2,3,8
20418,"Distrikt 5","male",37,"ES-ISCED IV",22,"9th decile",5,5,3,4,4,3,3
20419,"Distrikt 5","male",28,"ES-ISCED IV",46,"8th decile",4,6,4,4,3,4,3
20420,"Distrikt 5","male",36,"ES-ISCED III",29,"7th decile",9,9,5,5,1,6,5
20421,"Distrikt 5","female",19,"ES-ISCED III",29,"4th decile",2,4,7,4,5,7,2
20422,"Distrikt 5","male",74,"ES-ISCED I",15,"5th decile",1,3,5,3,6,5,7
20423,"Distrikt 5","male",47,"ES-ISCED III",30,"6th decile",4,3,2,4,3,4,6
20424,"Distrikt 5","female",48,"ES-ISCED IV",20,"5th decile",8,5,6,8,6,7,3
20425,"Distrikt 5","female",35,"ES-ISCED V",24,"7th decile",7,5,5,6,4,7,6
20426,"Distrikt 5","male",47,"ES-ISCED IV",40,"9th decile",6,5,5,3,8,5,6
20427,"Distrikt 5","female",45,"ES-ISCED III",39,"4th decile",5,6,5,5,6,5,6
20428,"Distrikt 5","male",51,"ES-ISCED III",42,"5th decile",2,4,4,4,5,5,3
20429,"Distrikt 5","male",40,"ES-ISCED IV",37,"8th decile",4,7,4,8,6,5,5
20430,"Distrikt 5","male",48,"ES-ISCED III",44,"8th decile",8,7,7,6,6,3,9
20431,"Distrikt 5","male",45,"ES-ISCED III",37,"7th decile",6,6,3,2,4,7,2
20432,"Distrikt 5","male",41,"ES-ISCED IV",33,"8th decile",8,5,6,5,7,7,6
20433,"Distrikt 5","male",30,"ES-ISCED IV",42,"8th decile",5,5,5,8,6,5,5
20434,"Distrikt 5","male",63,"ES-ISCED II",36,"6th decile",3,4,4,6,4,5,6
20435,"Distrikt 5","female",23,"ES-ISCED V",28,"7th decile",2,4,9,7,6,6,4
20436,"Distrikt 5","male",49,"ES-ISCED III",31,"7th decile",3,3,1,4,4,5,3
20437,"Distrikt 5","male",48,"ES-ISCED III",28,"6th decile",6,5,6,5,4,8,6
20438,"Distrikt 5","male",37,"ES-ISCED II",6,"6th decile",4,4,6,5,4,3,3
20439,"Distrikt 5","female",36,"ES-ISCED IV",23,"6th decile",4,6,5,6,7,4,3
20440,"Distrikt 5","male",50,"ES-ISCED II",32,"4th decile",NA,3,6,7,5,8,7
20441,"Distrikt 5","female",41,"ES-ISCED IV",36,"4th decile",6,4,3,6,5,4,7
20442,"Distrikt 5","male",37,"ES-ISCED II",43,"5th decile",5,4,6,4,4,3,5
20443,"Distrikt 5","female",25,NA,21,"7th decile",9,6,4,5,6,5,6
20444,"Distrikt 5","female",47,"ES-ISCED IV",28,"5th decile",7,7,2,6,5,5,4
20445,"Distrikt 5","male",27,"ES-ISCED IV",28,"7th decile",8,8,5,5,5,4,0
20446,"Distrikt 5","female",30,"ES-ISCED IV",25,"4th decile",6,5,5,5,0,5,5
20447,"Distrikt 5","male",57,"ES-ISCED III",37,"8th decile",4,7,5,7,6,8,6
20448,"Distrikt 5","female",44,"ES-ISCED III",37,"4th decile",8,7,4,4,5,2,4
20449,"Distrikt 5","male",57,"ES-ISCED III",29,"7th decile",5,6,4,7,5,6,8
20450,"Distrikt 5","male",50,"ES-ISCED III",28,"7th decile",5,5,2,6,6,8,3
20451,"Distrikt 5","male",51,"ES-ISCED III",23,"8th decile",6,5,6,6,7,7,9
20452,"Distrikt 5","female",42,"ES-ISCED III",37,"4th decile",5,6,2,3,3,5,5
20453,"Distrikt 5","male",54,"ES-ISCED III",32,"6th decile",3,3,4,6,4,5,9
20454,"Distrikt 5","female",41,"ES-ISCED III",21,"5th decile",6,5,7,6,3,6,3
20455,"Distrikt 5","male",40,"ES-ISCED II",36,"7th decile",5,6,7,6,5,4,4
20456,"Distrikt 5","female",41,"ES-ISCED III",31,"4th decile",6,8,6,2,5,6,3
20457,"Distrikt 5","female",50,"ES-ISCED III",30,"5th decile",3,5,8,4,7,4,6
20458,"Distrikt 5","male",68,"ES-ISCED I",29,"5th decile",4,5,7,7,6,3,6
20459,"Distrikt 5","female",41,"ES-ISCED III",20,"4th decile",0,0,3,6,5,3,7
20460,"Distrikt 5","male",43,"ES-ISCED III",34,"7th decile",8,5,2,6,4,3,8
20461,"Distrikt 5","male",33,"ES-ISCED III",35,"6th decile",5,4,4,7,3,5,6
20462,"Distrikt 5","female",46,"ES-ISCED V",22,"8th decile",8,6,4,5,4,9,3
20463,"Distrikt 5","female",56,"ES-ISCED II",39,"3rd decile",3,6,3,5,5,6,4
20464,"Distrikt 5","male",62,"ES-ISCED I",35,"5th decile",5,6,4,4,3,3,4
20465,"Distrikt 5","female",44,"ES-ISCED III",40,"4th decile",1,3,3,7,3,1,6
20466,"Distrikt 5","male",44,"ES-ISCED III",27,"6th decile",4,4,3,1,3,6,7
20467,"Distrikt 5","female",37,"ES-ISCED IV",45,"4th decile",5,4,2,3,3,3,6
20468,"Distrikt 5","female",40,"ES-ISCED III",25,"5th decile",5,6,6,7,7,2,6
20469,"Distrikt 5","male",45,"ES-ISCED IV",33,"8th decile",4,5,3,3,6,5,7
20470,"Distrikt 5","male",41,"ES-ISCED IV",37,"9th decile",7,5,5,7,2,6,5
20471,"Distrikt 5","male",27,"ES-ISCED III",34,"5th decile",2,6,4,4,4,5,2
20472,"Distrikt 5","female",54,"ES-ISCED III",37,"3rd decile",0,3,4,7,8,7,4
20473,"Distrikt 5","female",37,"ES-ISCED V",46,"6th decile",4,5,3,5,8,2,3
20474,"Distrikt 5","male",54,"ES-ISCED II",22,"7th decile",6,6,4,8,6,2,5
20475,"Distrikt 5","female",55,"ES-ISCED II",37,"3rd decile",NA,1,7,4,5,4,2
20476,"Distrikt 5","male",49,"ES-ISCED IV",21,"8th decile",6,4,5,6,5,5,6
20477,"Distrikt 5","female",54,"ES-ISCED III",29,"5th decile",6,5,4,6,3,4,6
20478,"Distrikt 5","male",47,"ES-ISCED II",34,"5th decile",6,6,3,7,5,5,5
20479,"Distrikt 5","male",29,"ES-ISCED IV",20,"7th decile",3,5,3,5,5,7,5
20480,"Distrikt 5","female",50,"ES-ISCED V",33,"5th decile",3,4,0,2,4,3,4
20481,"Distrikt 5","female",28,"ES-ISCED V",24,"7th decile",4,5,7,3,6,5,4
20482,"Distrikt 5","male",37,"ES-ISCED III",26,"6th decile",5,6,7,6,5,6,4
20483,"Distrikt 5","female",51,"ES-ISCED IV",39,"5th decile",2,2,4,5,7,6,5
20484,"Distrikt 5","female",44,"ES-ISCED IV",31,"5th decile",9,6,3,2,3,4,7
20485,"Distrikt 5","male",41,"ES-ISCED III",30,"7th decile",4,7,5,6,7,6,6
20486,"Distrikt 5","female",16,"ES-ISCED V",37,"6th decile",5,5,1,6,4,6,5
20487,"Distrikt 5","female",33,"ES-ISCED V",17,"6th decile",5,1,0,6,4,7,5
20488,"Distrikt 5","female",42,"ES-ISCED IV",27,"5th decile",4,5,5,6,6,5,4
20489,"Distrikt 5","female",51,"ES-ISCED IV",42,"6th decile",5,3,0,5,2,5,6
20490,"Distrikt 5","male",59,"ES-ISCED III",49,"6th decile",7,6,4,4,7,6,9
20491,"Distrikt 5","male",28,"ES-ISCED IV",35,"7th decile",5,6,2,6,1,5,2
20492,"Distrikt 5","male",40,"ES-ISCED II",33,"6th decile",6,7,5,5,6,6,5
20493,"Distrikt 5","female",45,"ES-ISCED IV",32,"6th decile",4,2,4,3,1,3,6
20494,"Distrikt 5","male",48,"ES-ISCED III",43,"7th decile",10,6,6,8,6,4,3
20495,"Distrikt 5","male",67,"ES-ISCED I",34,"4th decile",3,5,9,8,9,6,7
20496,"Distrikt 5","male",47,"ES-ISCED III",50,"7th decile",6,5,5,6,4,6,6
20497,"Distrikt 5","female",31,"ES-ISCED IV",38,"4th decile",5,6,5,8,5,5,4
20498,"Distrikt 5","male",39,"ES-ISCED IV",27,"8th decile",7,4,3,5,5,7,3
20499,"Distrikt 5","male",57,"ES-ISCED II",38,"5th decile",3,3,1,4,6,3,4
20500,"Distrikt 5","male",45,"ES-ISCED III",21,"7th decile",2,4,6,7,5,9,4
20501,"Distrikt 5","female",63,"ES-ISCED III",49,"4th decile",4,5,4,5,5,7,6
20502,"Distrikt 5","male",80,"ES-ISCED I",35,"5th decile",5,5,6,6,6,4,9
20503,"Distrikt 5","male",48,"ES-ISCED IV",48,"7th decile",5,3,6,3,3,6,4
20504,"Distrikt 5","male",42,"ES-ISCED III",34,"6th decile",5,7,3,4,2,7,4
20505,"Distrikt 5","male",37,"ES-ISCED IV",31,"7th decile",6,5,4,4,7,4,3
20506,"Distrikt 5","female",44,"ES-ISCED II",41,"2nd decile",9,6,5,5,10,6,4
20507,"Distrikt 5","male",22,"ES-ISCED V",28,"9th decile",3,4,1,3,7,4,3
20508,"Distrikt 5","female",34,"ES-ISCED IV",33,"5th decile",8,6,6,8,7,6,4
20509,"Distrikt 5","male",36,"ES-ISCED IV",35,"7th decile",7,5,6,8,4,4,3
